,Chapter,Test Case,hash,Type,Date,Status,up_date,part,_merge,node
35,2.3.5,LDAP Configuration,b5a4d71c0a119e86fefee05f6b40066c,Compact & Cluster,2023-06-19 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
36,2.3.6,LDAP connectivity verification,e16be4785c3d308a5aba12eb38bad31f,Compact & Cluster,2023-06-19 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
37,2.3.7,NTP,08f86f330f8cba76114532e79b0c4620,Compact & Cluster,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
38,2.4.1,APG43L Backup check,12a43319e7db5c6f85c503cdfc9ea34d,Compact & Cluster,2023-06-19 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
39,3.1.1,Power up / Cold start,d9e15b7599116e38f870d0dc600c08a4,Compact,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
40,3.2.1,Test of CP-AP Communication,f2f87b58be0d57ecf71ada8df361a2d9,Compact,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
41,3.2.2,Check board configuration,07c01f92f8cc36c71e58a8ad0fb8639d,Compact,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
42,3.2.3,Check CP SW Version,594663875f34563eccad2ac626416af8,Compact,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
43,3.2.4,Check status on APG,426ac9e16e3278c8e1dfc781fcd77806,Compact,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
44,3.2.5,Initial Loading,93dd16f99950312e32f87049a058942e,Compact,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
45,3.2.6,Check for CP FAULT ALARM,73dfbb5700b11d1ed0a2816bf9e5b408,Compact,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
46,3.2.7,IP Configuration Check,555e87164251252d1a870d3859a52866,Compact,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
47,3.2.8,Power cycle test,15ba410bf723c290f02d15bb11cb5589,Compact,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
48,3.2.9,MSC Tenants check for Multi-application MSC,47d00337b63e5813209cc10b972ffa34,Cluster,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
49,3.3.1,Make CP backup,1dd785e1de9a32e236b624ae268bb803,Compact,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
50,4.1.1,Hardware Configuration Check,737ea9953b21c4ffabc349e9b20f3b4b,Cluster,2023-06-19 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
51,4.1.2,Check CP Volumes and CP Files on AP1,e665caf5a91ebe9e287226a3dade0d69,Cluster,2023-06-19 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
52,4.1.3,Check APZ Middleware,2394c9ffd5558f411ffdc3326e9a8962,Cluster,2023-06-19 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
53,4.1.4,Boot Start of the Dual CPs for SPXs,a8ae891fee3f029670061a690b906444,Cluster,2023-06-19 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
54,4.1.5,Boot Start of Cluster CPs,8e54c4eba7a11ffaf30122b9de464a1f,Cluster,2023-06-19 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
55,4.1.6,Test the AP-CP Communication,0530238aab3276cdca8e60a23cfe914e,Cluster,2023-06-19 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
56,4.1.7,Transfer MAS Dump to AP1,99c7573d6c7ef89bf2b3047d9a77e2fa,Cluster,2023-06-19 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
57,4.1.8,Initial Loading and Application Startup of Dual CPs,dedd978ae5fb3a373069b1e3fc92b8fd,Cluster,2023-06-20 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
58,4.1.9,Initial Loading and Application Startup of Cluster CPs,604453858cb7940492f90684752e14dd,Cluster,2023-06-20 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
59,4.1.10,Test the AP-IPLB Communication,55be864f009e5d8a5b3eefb11881f86a,Cluster,2023-06-20 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
60,4.1.11,Lock/Unlock IPLB,4501c31d4aabf710b9f7f86fc72eb2be,Cluster,2023-07-31 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
61,4.1.12,Lock/Unlock SPX,0895c2f3dbcff8e891937671d1a93c93,Cluster,2023-07-31 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
62,4.2.1,"Blade Restart, Large",65bf9cb61d2ad5d51ddbf22319311dc3,Cluster,2023-08-03 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
63,4.2.2,Blade Reload,7f71c290ad26c3eb3e08fdd438379022,Cluster,2023-08-03 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
64,4.2.3,Forced Reconfiguration (Blade taken out of Quorum),e5544c9f2c558bb7b6f240d0416162f6,Cluster,2023-08-03 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
65,4.2.4,Blade re-inserted and re-activated,79ef453460e51233c741f98abdbb9361,Cluster,2023-08-03 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
66,4.2.5,"Blade Isolation and Removal , Traffic Level",5441717396398d064ef2ea407b8b8223,Cluster,2023-08-14 00:00:00,OK,2023-9-19,HW+MW,both,VS40MSK
67,4.2.6,SUA association state check,1e67c6fe796ff80b43b1f435f7168729,Cluster,2022-01-01 00:00:00,,2023-9-19,HW+MW,both,VS40MSK
68,4.2.7,Power cycle test,6f0f99806c61c7984dfca14c48611966,,,,,,left_only,VS40MSK
69,5.1.1,Backup,2c0fc24b3d3038317dc51c05339856d0,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,HW+MW,both,VS40MSK
70,5.1.2,Traffic Configuration Printout Collection,4acdb660b77133731754dedcde68495b,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,HW+MW,both,VS40MSK
71,5.1.3,APG43L Printout Collection,5488c86a1260428f0c13c0f8fb06bf6a,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,HW+MW,both,VS40MSK
72,5.1.4,BSP Configuration Printout Collection,7f5e6c29417bb1282666acfb2678e9de,Compact & Cluster,2022-01-01 00:00:00,TBD,2023-9-19,HW+MW,both,VS40MSK
73,7.1,Check Power Redundancy,7cd31cf6820896d838535a73cafb15ca,BSP,2023-06-21 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
74,7.2,Check of physical connectivity,74c5d9234051010a38a669f48bfeb435,Compact & Cluster,2022-06-21 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
75,7.3,Physical link failure of external link on Active CMXB in main shelf (O&M),6924f66d3c42e6c8f021dc7c8693ba4c,Compact & Cluster,2023-06-21 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
76,7.4,Physical link failure of external link on Passive CMXB in main shelf (O&M),d0201c3c7c67230ad82ad841f7c8e260,Compact & Cluster,2022-06-21 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
77,7.5,Physical external link failure of master CMXB while another CMXB is in locked state,0d640498fb206f2d67e1829ba976d945,Compact & Cluster,2023-08-14 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
78,7.6,Check CMXB configuration (Signalling links),5960276c0e365f7a81a90baab3a72051,Compact & Cluster,2023-08-14 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
79,7.7,SCXB failure scenarios,971455e5b307f416baac0cb24b710792,Compact & Cluster,2023-08-14 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
80,7.8,CMXB failure scenarios,90cc3a10dc0cf2e7e72098e531c4d970,Compact & Cluster,2023-08-14 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
81,7.9,IPLB failure scenarios,299e5505ce975112afaefec130cc83e0,Cluster,2023-08-14 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
82,7.10,Create BSP Configuration Backup,5a989a5d00ba0820921931d9826b8741,Compact & Cluster,2023-08-03 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
83,7.11,Restore node from BSP Configuration Backup,e0dcbd0519d1c8e7c5390b679c1ad71d,Compact & Cluster,2023-08-03 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
84,8.1,CMXB Failure,d6422a625045167156b3c0d85ca23ebf,MSC-S Compact,2023-08-14 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
85,8.2,Direct link of 1 CMXB failure,2a568439f8e6ff92daa9925ce8a03adf,MSC-S Compact,2023-08-14 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
86,8.3,Crosslink of 1 CMXB failure,5e20d6ed7744f334ad7deb3cea4d5905,MSC-S Compact,2023-08-14 00:00:00,OK,2023-9-19,Redundancy,both,VS40MSK
